ダウンロードした時刻：2026/04/07 16:53:27

,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴,舞鶴
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),平均湿度(％),平均湿度(％),平均湿度(％)
,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号
2015/7/28,25.9,8,1,29.9,8,1,23.6,8,1,6.0,0,8,1,0.3,0,8,1,0,1,8,1,93,8,1
2015/7/29,27.7,8,1,32.6,8,1,24.6,8,1,0.0,0,8,1,4.9,0,8,1,0,1,8,1,84,8,1
2015/7/30,27.3,8,1,31.2,8,1,24.7,8,1,3.0,0,8,1,4.4,0,8,1,0,1,8,1,87,8,1
2015/7/31,28.1,8,1,34.8,8,1,23.6,8,1,0,1,8,1,12.2,0,8,1,0,1,8,1,81,8,1
2015/8/1,28.1,8,1,33.1,8,1,23.8,8,1,0,1,8,1,12.0,0,8,1,0,1,8,1,82,8,1
2015/8/2,29.2,8,1,37.4,8,1,24.2,8,1,0.0,0,8,1,10.7,0,8,1,0,1,8,1,80,8,1
2015/8/3,28.7,8,1,36.2,8,1,24.6,8,1,0.0,0,8,1,8.4,0,8,1,0,1,8,1,79,8,1
2015/8/4,28.8,8,1,36.1,8,1,23.9,8,1,0,1,8,1,11.1,0,8,1,0,1,8,1,76,8,1
2015/8/5,29.1,8,1,36.9,8,1,24.3,8,1,0.0,0,8,1,11.9,0,8,1,0,1,8,1,74,8,1
2015/8/6,29.4,8,1,36.1,8,1,24.1,8,1,0.0,0,8,1,10.5,0,8,1,0,1,8,1,76,8,1
2015/8/7,29.8,8,1,35.7,8,1,25.6,8,1,0,1,8,1,9.3,0,8,1,0,1,8,1,75,8,1
2015/8/8,28.0,8,1,32.7,8,1,24.6,8,1,0,1,8,1,10.9,0,8,1,0,1,8,1,80,8,1
2015/8/9,27.6,8,1,33.9,8,1,22.9,8,1,0,1,8,1,11.1,0,8,1,0,1,8,1,80,8,1
2015/8/10,27.3,8,1,32.7,8,1,23.2,8,1,0,1,8,1,9.3,0,8,1,0,1,8,1,80,8,1
2015/8/11,27.1,8,1,32.7,8,1,22.8,8,1,0,1,8,1,6.7,0,8,1,0,1,8,1,78,8,1
2015/8/12,25.9,8,1,30.7,8,1,22.8,8,1,8.0,0,8,1,0.4,0,8,1,0,1,8,1,85,8,1
2015/8/13,25.4,8,1,29.8,8,1,22.7,8,1,8.5,0,8,1,1.9,0,8,1,0,1,8,1,92,8,1
2015/8/14,25.9,8,1,30.7,8,1,22.9,8,1,0.0,0,8,1,5.5,0,8,1,0,1,8,1,83,8,1
2015/8/15,26.1,8,1,32.1,8,1,21.4,8,1,0,1,8,1,10.0,0,8,1,0,1,8,1,78,8,1
2015/8/16,26.2,8,1,32.9,8,1,21.6,8,1,0.5,0,8,1,6.0,0,8,1,0,1,8,1,83,8,1
2015/8/17,24.1,8,1,29.0,8,1,21.7,8,1,45.5,0,8,1,0.3,0,8,1,0,1,8,1,95,8,1
2015/8/18,25.4,8,1,30.9,8,1,21.6,8,1,0,1,8,1,7.5,0,8,1,0,1,8,1,82,8,1
2015/8/19,25.9,8,1,29.7,8,1,23.0,8,1,0.0,0,8,1,2.7,0,8,1,0,1,8,1,83,8,1
2015/8/20,25.0,8,1,29.6,8,1,22.7,8,1,6.0,0,8,1,0.2,0,8,1,0,1,8,1,93,8,1
2015/8/21,26.1,8,1,30.3,8,1,22.9,8,1,1.0,0,8,1,0.2,0,8,1,0,1,8,1,88,8,1
2015/8/22,26.0,8,1,30.0,8,1,24.0,8,1,8.5,0,8,1,3.9,0,8,1,0,1,8,1,84,8,1
2015/8/23,26.4,8,1,29.3,8,1,23.5,8,1,0.0,0,8,1,7.6,0,8,1,0,1,8,1,75,8,1
2015/8/24,26.1,8,1,30.2,8,1,22.5,8,1,0.0,0,8,1,9.1,0,8,1,0,1,8,1,75,8,1
2015/8/25,24.7,8,1,27.5,8,1,22.4,8,1,5.5,0,8,1,0.0,0,8,1,0,1,8,1,82,8,1
2015/8/26,25.7,8,1,31.9,8,1,21.7,8,1,0.5,0,8,1,6.0,0,8,1,0,1,8,1,73,8,1
2015/8/27,24.4,8,1,29.7,8,1,20.5,8,1,0,1,8,1,9.7,0,8,1,0,1,8,1,77,8,1
2015/8/28,24.5,8,1,31.9,8,1,18.7,8,1,0.0,0,8,1,5.5,0,8,1,0,1,8,1,78,8,1
2015/8/29,25.6,8,1,32.1,8,1,22.0,8,1,4.0,0,8,1,5.3,0,8,1,0,1,8,1,83,8,1
2015/8/30,22.9,8,1,25.5,8,1,21.6,8,1,21.0,0,8,1,0.0,0,8,1,0,1,8,1,96,8,1
2015/8/31,22.8,8,1,24.5,8,1,21.3,8,1,5.5,0,8,1,0.3,0,8,1,0,1,8,1,97,8,1
2015/9/1,24.0,8,1,30.6,8,1,21.8,8,1,77.0,0,8,1,2.6,0,8,1,0,1,8,1,92,8,1
2015/9/2,23.8,8,1,27.5,8,1,21.2,8,1,1.0,0,8,1,4.4,0,8,1,0,1,8,1,84,8,1
2015/9/3,23.4,8,1,26.3,8,1,21.2,8,1,0.0,0,8,1,0.0,0,8,1,0,1,8,1,90,8,1
2015/9/4,23.7,8,1,28.0,8,1,20.3,8,1,0.0,0,8,1,7.2,0,8,1,0,1,8,1,82,8,1
2015/9/5,21.8,8,1,26.1,8,1,18.3,8,1,0,1,8,1,6.5,0,8,1,0,1,8,1,82,8,1
2015/9/6,20.5,8,1,22.2,8,1,18.9,8,1,39.0,0,8,1,0.0,0,8,1,0,1,8,1,97,8,1
2015/9/7,21.3,8,1,22.9,8,1,20.5,8,1,24.5,0,8,1,0.0,0,8,1,0,1,8,1,93,8,1
2015/9/8,21.8,8,1,24.2,8,1,20.1,8,1,29.0,0,8,1,0.1,0,8,1,0,1,8,1,95,8,1
2015/9/9,21.8,8,1,24.5,8,1,20.7,8,1,34.0,0,8,1,0.0,0,8,1,0,1,8,1,94,8,1
2015/9/10,21.3,8,1,24.0,8,1,18.7,8,1,0.0,0,8,1,0.6,0,8,1,0,1,8,1,87,8,1
2015/9/11,20.9,8,1,26.8,5,1,16.9,8,1,0.0,0,8,1,7.8,0,5,1,0,1,8,1,78,8,1
2015/9/12,21.3,8,1,27.4,8,1,16.6,8,1,0.0,0,8,1,2.0,0,8,1,0,1,8,1,80,8,1
2015/9/13,20.9,8,1,26.2,8,1,16.2,8,1,0.0,0,8,1,4.8,0,8,1,0,1,8,1,80,8,1
2015/9/14,19.6,8,1,24.6,8,1,14.4,8,1,0,1,8,1,10.8,0,8,1,0,1,8,1,76,8,1
2015/9/15,20.3,8,1,25.6,8,1,15.8,8,1,0.0,0,8,1,6.9,0,8,1,0,1,8,1,79,8,1
2015/9/16,20.2,8,1,24.8,8,1,17.7,8,1,0.0,0,8,1,0.1,0,8,1,0,1,8,1,89,8,1
2015/9/17,19.2,8,1,21.0,8,1,18.2,8,1,36.0,0,8,1,0.0,0,8,1,0,1,8,1,97,8,1
2015/9/18,19.6,8,1,24.1,8,1,17.0,8,1,0.5,0,8,1,1.6,0,8,1,0,1,8,1,91,8,1
2015/9/19,20.3,8,1,24.2,8,1,16.1,8,1,0.5,0,8,1,5.3,0,8,1,0,1,8,1,81,8,1
2015/9/20,21.1,8,1,24.7,8,1,16.5,8,1,0.0,0,8,1,6.9,0,8,1,0,1,8,1,77,8,1
2015/9/21,20.6,8,1,24.6,8,1,17.7,8,1,0.0,0,8,1,3.7,0,8,1,0,1,8,1,84,8,1
2015/9/22,20.6,8,1,25.9,8,1,16.6,8,1,0,1,8,1,8.9,0,8,1,0,1,8,1,84,8,1
2015/9/23,22.1,8,1,29.4,8,1,16.7,8,1,0.0,0,8,1,8.6,0,8,1,0,1,8,1,75,8,1
2015/9/24,19.6,8,1,21.4,8,1,18.4,8,1,18.0,0,8,1,0.0,0,8,1,0,1,8,1,93,8,1
2015/9/25,19.8,8,1,21.2,8,1,18.3,8,1,39.5,0,8,1,0.0,0,8,1,0,1,8,1,98,8,1
2015/9/26,21.2,8,1,25.6,8,1,19.1,8,1,0.0,0,8,1,5.9,0,8,1,0,1,8,1,88,8,1
2015/9/27,21.0,8,1,25.5,8,1,17.5,8,1,0,1,8,1,7.6,0,8,1,0,1,8,1,85,8,1
2015/9/28,20.2,8,1,26.2,8,1,16.3,8,1,0,1,8,1,7.1,0,8,1,0,1,8,1,83,8,1
2015/9/29,20.5,8,1,24.0,8,1,17.0,8,1,0.0,0,8,1,10.7,0,8,1,0,1,8,1,69,8,1
2015/9/30,18.8,8,1,21.9,8,1,14.0,8,1,0,1,8,1,3.6,0,8,1,0,1,8,1,62,8,1
2015/10/1,20.0,8,1,26.9,8,1,13.6,8,1,6.0,0,8,1,0.0,0,8,1,0,1,8,1,81,8,1
2015/10/2,19.1,8,1,25.9,8,1,13.4,8,1,27.0,0,8,1,6.1,0,8,1,0,1,8,1,76,8,1
2015/10/3,17.4,8,1,26.0,8,1,11.9,8,1,0,1,8,1,8.1,0,8,1,0,1,8,1,81,8,1
2015/10/4,17.5,8,1,23.6,8,1,13.3,8,1,0.0,0,8,1,4.5,0,8,1,0,1,8,1,76,8,1
2015/10/5,16.6,8,1,20.5,8,1,12.1,8,1,0,1,8,1,3.8,0,8,1,0,1,8,1,66,8,1
2015/10/6,16.1,8,1,21.4,8,1,10.1,8,1,0.0,0,8,1,5.7,0,8,1,0,1,8,1,77,8,1
2015/10/7,18.8,8,1,22.0,8,1,13.6,8,1,0,1,8,1,7.8,0,8,1,0,1,8,1,66,8,1
2015/10/8,18.5,8,1,21.7,8,1,14.0,8,1,0.0,0,8,1,4.3,0,8,1,0,1,8,1,65,8,1
2015/10/9,17.6,8,1,24.6,8,1,12.8,8,1,0,1,8,1,9.3,0,8,1,0,1,8,1,75,8,1
2015/10/10,16.3,8,1,21.5,8,1,12.1,8,1,0,1,8,1,0.6,0,8,1,0,1,8,1,87,8,1
2015/10/11,17.6,8,1,23.7,8,1,13.7,8,1,0,1,8,1,1.2,0,8,1,0,1,8,1,75,8,1
2015/10/12,15.3,8,1,22.6,8,1,10.8,8,1,0.0,0,8,1,4.3,0,8,1,0,1,8,1,79,8,1
2015/10/13,15.5,8,1,21.7,8,1,11.2,8,1,0,1,8,1,5.6,0,8,1,0,1,8,1,74,8,1
2015/10/14,14.9,8,1,21.8,8,1,9.6,8,1,0,1,8,1,9.7,0,8,1,0,1,8,1,80,8,1
2015/10/15,14.5,8,1,21.4,8,1,9.4,8,1,0,1,8,1,6.3,0,8,1,0,1,8,1,82,8,1
2015/10/16,14.3,8,1,22.2,8,1,8.8,8,1,0,1,8,1,8.5,0,8,1,0,1,8,1,84,8,1
2015/10/17,15.8,8,1,22.1,8,1,10.5,8,1,0,1,8,1,8.6,0,8,1,0,1,8,1,85,8,1
2015/10/18,16.3,8,1,24.0,8,1,11.7,8,1,0,1,8,1,7.8,0,8,1,0,1,8,1,88,8,1
2015/10/19,16.9,8,1,22.9,8,1,13.4,8,1,0,1,8,1,10.1,0,8,1,0,1,8,1,84,8,1
2015/10/20,17.4,8,1,23.4,8,1,12.1,8,1,0,1,8,1,7.2,0,8,1,0,1,8,1,83,8,1
2015/10/21,18.1,8,1,22.8,8,1,13.7,8,1,0,1,8,1,8.6,0,8,1,0,1,8,1,76,8,1
2015/10/22,16.4,8,1,20.8,8,1,12.0,8,1,0.0,0,8,1,2.2,0,8,1,0,1,8,1,82,8,1
2015/10/23,16.9,8,1,21.3,8,1,12.9,8,1,0.0,0,8,1,7.6,0,8,1,0,1,8,1,80,8,1
2015/10/24,17.6,8,1,24.9,8,1,11.5,8,1,0.5,0,8,1,9.8,0,8,1,0,1,8,1,78,8,1
2015/10/25,15.7,8,1,18.1,8,1,14.0,8,1,0.0,0,8,1,6.4,0,8,1,0,1,8,1,52,8,1
2015/10/26,13.9,8,1,18.2,8,1,9.5,8,1,0,1,8,1,8.3,0,8,1,0,1,8,1,66,8,1
2015/10/27,17.4,8,1,24.5,8,1,9.1,8,1,10.0,0,8,1,7.4,0,8,1,0,1,8,1,74,8,1
2015/10/28,15.4,8,1,20.1,8,1,10.3,8,1,0.0,0,8,1,5.4,0,8,1,0,1,8,1,77,8,1
2015/10/29,12.5,8,1,18.1,8,1,8.0,8,1,0.0,0,8,1,3.5,0,8,1,0,1,8,1,81,8,1
2015/10/30,12.8,8,1,18.7,8,1,8.5,8,1,0,1,8,1,4.8,0,8,1,0,1,8,1,80,8,1
2015/10/31,10.7,8,1,16.5,8,1,6.6,8,1,0.0,0,8,1,3.9,0,8,1,0,1,8,1,75,8,1
2015/11/1,10.9,8,1,16.0,8,1,6.5,8,1,0.0,0,8,1,0.9,0,8,1,0,1,8,1,78,8,1
2015/11/2,11.6,8,1,14.4,8,1,9.9,8,1,12.0,0,8,1,0.3,0,8,1,0,1,8,1,96,8,1
2015/11/3,13.0,8,1,18.7,8,1,9.1,8,1,0.0,0,8,1,5.6,0,8,1,0,1,8,1,85,8,1
2015/11/4,13.0,8,1,21.0,8,1,8.1,8,1,0,1,8,1,6.9,0,8,1,0,1,8,1,89,8,1
2015/11/5,14.9,8,1,23.3,8,1,9.4,8,1,0.0,0,8,1,7.9,0,8,1,0,1,8,1,86,8,1
2015/11/6,16.2,8,1,22.2,8,1,11.7,8,1,0.0,0,8,1,6.7,0,8,1,0,1,8,1,86,8,1
2015/11/7,17.3,8,1,19.9,8,1,15.1,8,1,0.0,0,8,1,0.2,0,8,1,0,1,8,1,88,8,1
2015/11/8,17.6,8,1,19.5,8,1,15.5,8,1,12.0,0,8,1,0.0,0,8,1,0,1,8,1,93,8,1
2015/11/9,17.7,8,1,18.8,8,1,16.1,8,1,23.5,0,8,1,0.0,0,8,1,0,1,8,1,99,8,1
2015/11/10,16.2,8,1,17.6,8,1,15.0,8,1,24.0,0,8,1,0.3,0,8,1,0,1,8,1,78,8,1
2015/11/11,14.9,8,1,17.2,8,1,11.1,8,1,0.0,0,8,1,5.9,0,8,1,0,1,8,1,59,8,1
2015/11/12,11.8,8,1,17.8,8,1,7.6,8,1,0,1,8,1,7.3,0,8,1,0,1,8,1,81,8,1
2015/11/13,11.1,8,1,15.1,8,1,7.3,8,1,2.5,0,8,1,0.0,0,8,1,0,1,8,1,92,8,1
2015/11/14,16.6,8,1,20.1,8,1,14.1,8,1,29.5,0,8,1,0.0,0,8,1,0,1,8,1,90,8,1
2015/11/15,15.6,8,1,18.7,8,1,13.2,8,1,5.0,0,8,1,0.3,0,8,1,0,1,8,1,96,8,1
2015/11/16,15.0,8,1,19.6,8,1,12.4,8,1,0.0,0,8,1,5.7,0,8,1,0,1,8,1,87,8,1
2015/11/17,16.9,8,1,19.9,8,1,13.0,8,1,4.5,0,8,1,0.0,0,8,1,0,1,8,1,90,8,1
2015/11/18,16.2,8,1,17.4,8,1,14.4,8,1,27.5,0,8,1,0.0,0,8,1,0,1,8,1,94,8,1
2015/11/19,13.8,8,1,15.0,8,1,11.4,8,1,3.5,0,8,1,0.0,0,8,1,0,1,8,1,79,8,1
2015/11/20,13.2,8,1,18.3,8,1,10.0,8,1,0.0,0,8,1,8.7,0,8,1,0,1,8,1,86,8,1
2015/11/21,13.6,8,1,16.0,8,1,10.5,8,1,0.0,0,8,1,0.9,0,8,1,0,1,8,1,77,8,1
2015/11/22,12.4,8,1,17.7,8,1,9.0,8,1,0,1,8,1,3.4,0,8,1,0,1,8,1,87,8,1
2015/11/23,13.5,8,1,19.2,8,1,9.1,8,1,0,1,8,1,3.2,0,8,1,0,1,8,1,91,8,1
2015/11/24,13.3,8,1,16.8,8,1,11.8,8,1,4.0,0,8,1,0.1,0,8,1,0,1,8,1,79,8,1
2015/11/25,10.3,8,1,12.6,8,1,8.6,8,1,1.5,0,8,1,0.0,0,8,1,0,1,8,1,85,8,1
2015/11/26,8.1,8,1,11.5,8,1,3.4,8,1,5.0,0,8,1,2.9,0,8,1,0,1,5,1,92,8,1
2015/11/27,5.9,8,1,10.8,8,1,1.6,8,1,0.5,0,8,1,5.7,0,8,1,0,1,8,1,76,8,1
2015/11/28,8.7,8,1,14.5,8,1,5.3,8,1,0.0,0,8,1,4.8,0,8,1,0,1,8,1,70,8,1
2015/11/29,8.3,8,1,12.0,8,1,5.4,8,1,0.0,0,8,1,1.5,0,8,1,0,1,8,1,84,8,1
2015/11/30,8.7,8,1,16.4,8,1,3.3,8,1,0.0,0,8,1,8.2,0,8,1,0,1,8,1,83,8,1
2015/12/1,8.7,8,1,11.3,8,1,4.5,8,1,8.0,0,8,1,0.1,0,8,1,0,1,8,1,87,8,1
2015/12/2,10.1,8,1,16.8,8,1,3.2,8,1,0.0,0,8,1,6.2,0,8,1,0,1,8,1,79,8,1
2015/12/3,10.1,8,1,16.0,8,1,4.1,8,1,12.0,0,8,1,0.6,0,8,1,0,1,8,1,79,8,1
2015/12/4,7.3,8,1,10.8,8,1,3.4,8,1,0.0,0,8,1,3.0,0,8,1,0,1,8,1,61,8,1
2015/12/5,8.0,8,1,13.5,8,1,3.4,8,1,0.0,0,8,1,5.4,0,8,1,0,1,8,1,66,8,1
2015/12/6,9.6,8,1,11.7,8,1,7.0,8,1,0.0,0,8,1,0.5,0,8,1,0,1,8,1,70,8,1
2015/12/7,9.0,8,1,13.0,8,1,4.6,8,1,0,1,8,1,6.1,0,8,1,0,1,8,1,73,8,1
2015/12/8,9.9,8,1,12.8,8,1,5.5,8,1,0.0,0,8,1,3.0,0,8,1,0,1,8,1,67,8,1
2015/12/9,7.0,8,1,13.6,8,1,2.8,8,1,0,1,8,1,8.2,0,8,1,0,1,8,1,86,8,1
2015/12/10,10.8,8,1,15.0,8,1,4.7,8,1,7.0,0,8,1,0.0,0,8,1,0,1,8,1,89,8,1
2015/12/11,13.2,8,1,16.2,8,1,10.6,8,1,94.0,0,8,1,0.0,0,8,1,0,1,8,1,91,8,1
2015/12/12,10.6,8,1,13.3,8,1,6.1,8,1,1.0,0,8,1,0.8,0,8,1,0,1,8,1,74,8,1
2015/12/13,9.2,8,1,13.7,8,1,5.9,8,1,0.0,0,8,1,1.8,0,8,1,0,1,8,1,90,8,1
2015/12/14,9.5,8,1,12.5,8,1,6.0,8,1,1.0,0,8,1,0.7,0,8,1,0,1,8,1,96,8,1
2015/12/15,10.6,8,1,17.3,8,1,5.8,8,1,2.5,0,8,1,3.6,0,8,1,0,1,8,1,92,8,1
2015/12/16,10.0,8,1,13.5,8,1,5.5,8,1,0.0,0,8,1,1.7,0,8,1,0,1,8,1,81,8,1
2015/12/17,5.2,8,1,10.6,8,1,2.0,8,1,6.5,0,8,1,3.9,0,8,1,0,1,8,1,77,8,1
2015/12/18,4.6,8,1,8.2,8,1,2.5,8,1,0.0,0,8,1,0.3,0,8,1,0,1,8,1,86,8,1
2015/12/19,6.2,8,1,9.1,8,1,2.7,8,1,4.0,0,8,1,0.0,0,8,1,0,1,8,1,75,8,1
2015/12/20,5.6,8,1,11.1,8,1,0.5,8,1,0.0,0,8,1,7.9,0,8,1,0,1,8,1,81,8,1
2015/12/21,8.2,8,1,10.7,8,1,5.9,8,1,11.5,0,8,1,0.3,0,8,1,0,1,8,1,95,8,1
2015/12/22,8.6,8,1,13.0,8,1,5.9,8,1,0.0,0,8,1,1.9,0,8,1,0,1,8,1,88,8,1
2015/12/23,6.8,8,1,9.9,8,1,4.0,8,1,7.5,0,8,1,0.0,0,8,1,0,1,8,1,94,8,1
2015/12/24,10.6,8,1,15.5,8,1,8.3,8,1,2.5,0,8,1,4.5,0,8,1,0,1,8,1,92,8,1
2015/12/25,8.0,8,1,10.3,8,1,4.5,8,1,14.5,0,8,1,1.8,0,8,1,0,1,8,1,89,8,1
2015/12/26,6.8,8,1,11.7,8,1,3.0,8,1,0.0,0,8,1,5.0,0,8,1,0,1,8,1,78,8,1
2015/12/27,4.6,8,1,6.7,8,1,2.2,8,1,18.5,0,8,1,0.0,0,8,1,0,1,8,1,91,8,1
2015/12/28,4.0,8,1,8.8,8,1,1.4,8,1,0.0,0,8,1,2.6,0,8,1,0,1,8,1,86,8,1
2015/12/29,3.8,8,1,7.3,8,1,1.2,8,1,4.0,0,8,1,1.7,0,8,1,0,1,8,1,89,8,1
2015/12/30,3.5,8,1,10.2,8,1,0.2,8,1,0,1,8,1,4.7,0,8,1,0,1,8,1,87,8,1
2015/12/31,3.4,8,1,9.1,8,1,-0.9,8,1,7.5,0,8,1,4.4,0,8,1,0,1,8,1,92,8,1
2016/1/1,4.1,8,1,10.6,8,1,1.2,8,1,0.5,0,8,1,5.7,0,8,1,0,1,8,1,90,8,1
2016/1/2,7.0,8,1,13.7,8,1,2.0,8,1,0,1,8,1,5.8,0,8,1,0,1,8,1,79,8,1
2016/1/3,7.8,8,1,16.8,8,1,2.8,8,1,0,1,8,1,6.1,0,8,1,0,1,8,1,88,8,1
2016/1/4,8.6,8,1,15.0,8,1,4.1,8,1,0.0,0,8,1,4.1,0,8,1,0,1,8,1,86,8,1
2016/1/5,6.4,8,1,10.0,8,1,3.4,8,1,0.0,0,8,1,0.8,0,8,1,0,1,8,1,90,8,1
2016/1/6,7.5,8,1,11.9,8,1,4.2,8,1,0,1,8,1,2.8,0,8,1,0,1,8,1,84,8,1
2016/1/7,5.3,8,1,7.8,8,1,2.9,8,1,1.5,0,8,1,0.2,0,8,1,0,1,8,1,92,8,1
2016/1/8,3.9,8,1,8.0,8,1,1.3,8,1,0,1,8,1,1.0,0,8,1,0,1,8,1,85,8,1
2016/1/9,5.1,8,1,11.0,8,1,1.8,8,1,0.0,0,8,1,5.4,0,8,1,0,1,8,1,77,8,1
2016/1/10,5.8,8,1,9.0,8,1,1.9,8,1,0.0,0,8,1,1.3,0,8,1,0,1,8,1,69,8,1
2016/1/11,6.7,8,1,10.3,8,1,3.9,8,1,1.0,0,8,1,2.9,0,8,1,0,1,8,1,77,8,1
2016/1/12,3.5,8,1,6.7,8,1,0.0,8,1,19.0,0,8,1,0.2,0,8,1,0,1,8,1,91,8,1
2016/1/13,2.7,8,1,9.0,8,1,-0.5,8,1,0.0,0,8,1,4.8,0,8,1,0,1,8,1,87,8,1
2016/1/14,3.3,8,1,9.4,8,1,-1.1,8,1,0.0,0,8,1,6.8,0,8,1,0,1,8,1,76,8,1
2016/1/15,4.2,8,1,8.2,8,1,1.7,8,1,0.0,0,8,1,3.8,0,8,1,0,1,8,1,73,8,1
2016/1/16,4.0,8,1,9.1,8,1,0.2,8,1,0.0,0,8,1,3.6,0,8,1,0,1,8,1,80,8,1
2016/1/17,4.0,8,1,8.2,8,1,0.0,8,1,2.0,0,8,1,0.7,0,8,1,0,1,8,1,84,8,1
2016/1/18,6.1,8,1,10.4,8,1,3.2,8,1,20.0,0,8,1,0.2,0,8,1,0,1,8,1,86,8,1
2016/1/19,1.4,8,1,4.8,8,1,-1.1,8,1,0.0,0,8,1,6.3,0,8,1,0,1,8,1,50,8,1
2016/1/20,1.4,8,1,4.6,8,1,-1.5,8,1,32.0,0,8,1,0.0,0,8,1,3,0,8,1,90,8,1
2016/1/21,1.7,8,1,4.0,8,1,0.4,8,1,6.0,0,8,1,0.0,0,8,1,0,1,8,1,96,8,1
2016/1/22,1.2,8,1,4.2,8,1,0.2,8,1,19.0,0,8,1,0.0,0,8,1,3,0,8,1,96,8,1
2016/1/23,2.5,8,1,6.3,8,1,0.3,8,1,0.5,0,8,1,2.2,0,8,1,0,1,8,1,83,8,1
2016/1/24,-1.5,8,1,1.6,8,1,-5.4,8,1,3.0,0,8,1,9.0,0,8,1,5,0,8,1,46,8,1
2016/1/25,-1.2,8,1,3.9,8,1,-5.1,8,1,4.0,0,8,1,4.8,0,8,1,5,0,8,1,90,8,1
2016/1/26,0.7,8,1,8.7,8,1,-5.2,8,1,0,1,8,1,5.7,0,8,1,0,1,8,1,80,8,1
2016/1/27,3.2,8,1,9.8,8,1,-1.0,8,1,0,1,8,1,2.9,0,8,1,0,1,8,1,80,8,1
2016/1/28,4.2,8,1,9.9,8,1,-1.4,8,1,0.0,0,8,1,2.3,0,8,1,0,1,8,1,85,8,1
2016/1/29,6.3,8,1,8.6,8,1,4.3,8,1,46.0,0,8,1,0.0,0,8,1,0,1,8,1,97,8,1
2016/1/30,7.1,8,1,8.7,8,1,6.0,8,1,6.0,0,8,1,0.1,0,8,1,0,1,8,1,77,8,1
2016/1/31,7.1,8,1,12.3,8,1,3.8,8,1,0.0,0,8,1,5.9,0,8,1,0,1,8,1,67,8,1
2016/2/1,3.8,8,1,5.2,8,1,2.2,8,1,17.5,0,8,1,0.0,0,8,1,0,1,8,1,93,8,1
2016/2/2,2.2,8,1,4.2,8,1,1.0,8,1,20.0,0,8,1,0.0,0,8,1,0,1,8,1,95,8,1
2016/2/3,2.5,8,1,7.0,8,1,-1.0,8,1,0.0,0,8,1,2.1,0,8,1,0,1,8,1,84,8,1
2016/2/4,3.7,8,1,10.6,8,1,-1.3,8,1,0,1,8,1,7.2,0,8,1,0,1,8,1,78,8,1
2016/2/5,4.1,8,1,10.5,8,1,-0.5,8,1,0,1,8,1,5.2,0,8,1,0,1,8,1,80,8,1
2016/2/6,3.9,8,1,9.6,8,1,-0.1,8,1,12.5,0,8,1,5.1,0,8,1,0,1,8,1,81,8,1
2016/2/7,2.7,8,1,6.0,8,1,-2.2,8,1,7.0,0,8,1,2.8,0,8,1,0,1,8,1,75,8,1
2016/2/8,2.7,8,1,10.3,8,1,-2.2,8,1,0,1,8,1,8.6,0,8,1,0,1,8,1,74,8,1
2016/2/9,3.2,8,1,7.3,8,1,0.7,8,1,9.5,0,8,1,3.8,0,8,1,0,1,8,1,86,8,1
2016/2/10,3.6,8,1,8.2,8,1,0.6,8,1,2.5,0,8,1,3.3,0,8,1,0,1,8,1,76,8,1
2016/2/11,2.9,8,1,9.8,8,1,-1.7,8,1,0,1,8,1,9.8,0,8,1,0,1,8,1,79,8,1
2016/2/12,9.1,8,1,17.4,8,1,-0.8,8,1,0.0,0,8,1,7.6,0,8,1,0,1,8,1,72,8,1
2016/2/13,13.5,8,1,16.4,8,1,10.2,8,1,9.5,0,8,1,0.2,0,8,1,0,1,8,1,89,8,1
2016/2/14,13.4,8,1,19.7,8,1,8.2,8,1,16.5,0,8,1,1.3,0,8,1,0,1,8,1,87,8,1
2016/2/15,2.8,8,1,8.2,8,1,0.2,8,1,34.5,0,8,1,0.0,0,8,1,3,0,8,1,88,8,1
2016/2/16,1.7,8,1,7.3,8,1,-0.9,8,1,1.0,0,8,1,7.5,0,8,1,1,0,8,1,86,8,1
2016/2/17,2.3,8,1,6.4,8,1,0.5,8,1,7.0,0,8,1,1.9,0,8,1,0,1,8,1,91,8,1
2016/2/18,4.1,8,1,11.9,8,1,-0.6,8,1,0,1,8,1,9.8,0,8,1,0,1,8,1,72,8,1
2016/2/19,7.2,8,1,14.5,8,1,0.7,8,1,0,1,8,1,7.0,0,8,1,0,1,8,1,73,8,1
2016/2/20,6.9,8,1,8.1,8,1,5.4,8,1,23.5,0,8,1,0.0,0,8,1,0,1,8,1,91,8,1
